Date/Time,Avg Temp,Avg Humidity,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Best Pace,Total Ascent,Total Descent,Min Elevation,Max Elevation,,,
2022-10-04T17:41:21,17,66,5.12,344,0:32:39,159,181,6:23,5:22,85,76,104,124,,,
2022-10-02T16:06:57,18,61,12.88,838,1:17:19,165,180,6:00,5:16,108,115,56,88,,,
2022-09-30T17:50:07,19,58,6.08,389,0:36:01,159,176,5:55,4:32,66,65,47,73,,,
2022-09-27T07:42:52,16,91,6.01,394,0:36:23,162,176,6:03,5:12,62,64,46,71,,,
2022-09-25T17:49:05,21,76,5.64,383,0:34:43,167,190,6:09,5:07,93,86,102,121,,,
2022-09-20T07:30:22,21,96,8.08,532,0:50:02,161,177,6:12,5:45,72,77,101,125,,,
2022-09-18T16:50:06,27,80,5.88,404,0:36:30,166,187,6:13,5:28,95,94,105,122,,,
2022-09-16T07:38:05,15,92,5.02,309,0:29:07,149,171,5:48,5:18,52,50,52,77,,,
2022-09-13T07:32:19,25,100,5.03,322,0:30:36,156,177,6:05,5:05,51,56,44,70,,,
2022-09-12T07:29:40,23,97,7.29,468,0:43:44,159,175,6:00,5:27,63,67,45,73,,,
2022-09-08T07:27:18,20,97,5.12,331,0:30:56,159,179,6:03,4:17,52,54,45,68,,,
2022-09-07T07:33:12,22,97,5.18,334,0:32:02,153,173,6:11,5:39,55,54,44,72,,,
2022-08-31T07:49:55,23,96,5.03,330,0:31:28,156,177,6:16,5:22,53,56,42,70,,,
2022-08-30T07:13:12,26,88,6.44,425,0:40:13,159,179,6:14,4:58,58,62,59,84,,,
2022-08-24T08:01:09,25,93,5.03,332,0:30:17,164,181,6:01,5:05,50,53,44,69,,,
2022-08-23T07:54:24,25,92,6.74,433,0:40:43,163,182,6:02,3:23,61,67,44,73,,,
2022-08-19T07:24:04,20,88,6.04,403,0:38:42,157,175,6:24,5:50,56,62,46,72,,,
2022-08-10T07:54:18,24,86,6.84,432,0:42:47,155,182,6:15,3:04,62,62,44,71,,,
2022-08-08T07:35:21,27,91,5.64,375,0:36:28,158,175,6:28,5:42,51,57,39,65,,,
2022-08-07T08:02:15,28,91,6.91,468,0:44:06,161,178,6:23,5:56,61,58,45,72,,,
2022-08-04T07:44:59,26,77,6.92,449,0:43:27,161,181,6:17,2:50,68,67,45,73,,,
2022-08-02T07:23:34,25,88,5.02,340,0:33:29,156,174,6:40,6:01,53,54,45,71,,,
2022-08-01T07:55:11,26,83,8.25,557,0:52:20,164,182,6:21,5:42,68,65,61,85,,,
2022-07-28T07:05:57,25,88,5.85,400,0:35:55,164,190,6:08,4:08,93,91,64,84,,,
2022-07-27T06:55:11,20,94,8.29,541,0:52:43,156,178,6:22,5:33,73,72,45,81,,,
2022-07-22T06:53:37,25,89,6.56,432,0:42:25,153,167,6:28,5:35,53,59,58,82,,,
2022-07-21T06:34:35,27,84,7.47,503,0:49:10,158,175,6:35,5:47,68,74,44,72,,,
2022-07-19T06:04:48,25,89,5.98,421,0:38:47,163,185,6:29,5:44,102,100,94,114,,,
2022-07-08T06:41:31,23,90,6.61,514,0:49:31,158,180,7:30,5:06,237,239,40,257,,,
2022-07-07T06:40:12,26,76,6.58,530,0:53:21,159,182,8:06,6:02,234,244,33,257,,,
2022-07-06T06:39:56,28,81,6.46,527,0:55:18,157,185,8:34,6:19,225,229,49,258,,,
2022-07-05T06:39:32,26,69,5.55,494,0:48:12,162,184,8:41,6:07,219,227,-136,70,,,
2022-06-30T18:18:23,30,44,5.05,349,0:32:25,163,179,6:25,5:42,48,53,47,72,,,
2022-06-26T18:41:25,31,52,8.56,629,0:54:59,171,186,6:26,4:13,116,118,60,78,,,
2022-06-23T16:21:14,27,70,7.67,521,0:47:51,165,185,6:14,3:13,62,63,60,83,,,
2022-06-20T17:27:18,28,37,5.98,402,0:34:30,168,182,5:46,4:10,71,80,89,109,,,
2022-06-13T17:01:49,31,62,6.89,491,0:45:31,164,185,6:37,4:29,112,111,124,189,,,
2022-06-02T18:06:08,24,58,5.31,351,0:31:22,163,179,5:54,5:13,42,52,45,74,,,
2022-05-29T18:00:13,26,45,5.52,368,0:37:13,152,170,6:44,5:28,13,24,97,111,,,
2022-05-26T15:05:46,24,52,8.09,557,0:49:24,167,180,6:06,4:50,67,61,45,81,,,
2022-05-23T18:32:45,18,46,5.08,334,0:30:45,158,177,6:03,5:12,45,51,45,75,,,
2022-05-18T17:37:28,18,38,5.69,378,0:34:55,167,185,6:08,4:54,24,33,94,111,,,
2022-05-13T18:15:43,29,55,8.13,563,0:52:27,167,185,6:27,5:01,94,77,63,99,,,
2022-05-02T17:25:41,12,83,6.44,413,0:40:05,153,170,6:13,5:26,45,45,45,75,,,
2022-04-23T18:49:49,13,37,5.87,376,0:36:39,157,173,6:15,5:28,36,40,59,81,,,
2022-04-15T12:03:44,6,25,5.11,333,0:33:41,151,174,6:35,3:51,137,151,"2,497","2,622",,,
2022-04-11T16:45:47,16,33,5.02,331,0:31:41,156,171,6:19,5:20,35,39,45,74,,,
2022-04-06T17:05:30,13,65,5.19,313,0:30:15,137,170,5:50,4:40,25,32,61,75,,,