Date,Time,Shuttle Number and Direction,Shuttle Number,Shuttle Next Direction,People,Stop Time,Time Since SNS
2022-09-26,18:11,452 W,452,W,6,24.11,0
2022-09-26,18:22,454 N,454,N,4,01:05.3,0
2022-09-26,18:23,452 W,452,W,7,56.85,12:22.4
2022-09-26,18:34,454 N,454,N,6,54.77,08:30.6
2022-09-26,18:42,452 W,452,W,15,38.3,16:27.6
2022-09-26,18:44,454 N,454,N,5,50.03,08:59.5
2022-09-26,18:56,452 W,452,W,5,29.74,11:54.4
2022-09-26,18:59,454 N,454,N,6,03:04.6,13:06.3
2022-09-26,19:07,452 W,452,W,3,01:31.9,10:27.0
2022-09-26,19:12,454 N,454,N,4,31.96,09:46.3
2022-09-26,19:20,452 N,452,N,1,01:57.9,11:09.4
2022-09-26,19:22,454 W,454,W,5,01:46.0,09:52.0
2022-09-26,19:35,454 W,454,W,1,03:50.9,09:48.8
2022-09-26,19:36,452 N,452,N,3,04:08.0,12:29.1
2022-09-26,19:51,452 N,452,N,5,01:12.6,09:51.0
2022-09-26,20:01,452 N,452,N,8,01:15.4,09:55.4
2022-09-26,20:11,454 W,454,W,13,38.3,32:05.3
2022-09-26,20:23,452 N,452,N,14,39.23,19:22.9
2022-09-26,20:29,454 W,454,W,10,44.37,16:22.0
2022-09-26,20:41,452 N,452,N,3,24.4,16:48.5
2022-09-26,20:47,454 W,454,W,4,39.26,16:23.7
2022-09-26,20:55,452 N,452,N,2,01:42.7,13:12.4
2022-09-26,21:00,454 W,454,W,4,03:32.2,11:13.0
2022-09-27,18:15,406 W,406,W,10,50.62,NA
2022-09-27,18:29,406 N,406,N,4,59,NA
2022-09-27,18:41,406 W,406,W,8,01:33.5,NA
2022-09-27,18:43,454 N,454,N,8,26.56,NA
2022-09-27,18:54,406 PL,406,PL,0,11.97,NA
2022-09-27,18:57,454 W,454,W,5,44.24,NA
2022-09-27,19:14,406 N,406,N,9,32.46,NA
2022-09-27,19:15,454 W,454,W,4,02:35.7,NA
2022-09-27,19:33,406 N,406,N,5,01:02.5,NA
2022-09-27,19:34,454 W,454,W,6,05:21.7,NA
2022-09-27,19:45,406 N,406,N,12,08:11.0,NA
2022-09-27,19:52,454 W,454,W,6,02:19.1,NA
2022-09-27,20:04,406 N,406,N,5,01:27.7,NA
2022-09-27,20:12,454 W,454,W,14,02:13.1,NA
2022-09-27,20:19,406 N,406,N,5,02:25.3,NA
2022-09-27,20:28,454 W,454,W,3,05:34.4,NA
2022-09-27,20:32,406 N,406,N,7,01:22.0,NA
2022-09-27,20:51,454 W,454,W,3,25.86,NA
2022-09-29,18:05,406 W,406,W,5,01:07.8,NA
2022-09-29,18:15,452 N,452,N,6,38.9,NA
2022-09-29,18:19,406 W,406,W,8,02:58.9,NA
2022-09-29,18:26,452 N,452,N,3,27.13,NA
2022-09-29,18:34,406 W,406,W,8,51.57,NA
2022-09-29,18:38,452 N,452,N,4,22.55,NA
2022-09-29,18:48,406 W,406,W,9,02:14.3,NA
2022-09-29,18:52,452 N,452,N,7,21.89,NA
2022-09-29,19:06,452 N,452,N,3,16.47,NA
2022-09-29,19:08,406 W,406,W,7,01:02.3,NA
2022-09-29,19:16,452 N,452,N,6,24.09,NA
2022-09-29,19:19,406 W,406,W,6,01:05.3,NA
2022-09-29,19:27,452 N,452,N,4,23.64,NA
2022-09-29,19:34,406 W,406,W,6,01:18.6,NA
2022-09-29,19:39,452 N,452,N,7,24.32,NA
2022-09-29,19:48,406 W,406,W,6,02:07.0,NA
2022-09-29,19:52,452 N,452,N,4,23.55,NA
2022-09-29,20:03,452 N,452,N,7,39.99,NA
2022-09-29,20:06,406 W,406,W,12,53.37,NA
2022-09-29,20:13,452 N,452,N,5,38.18,NA
2022-09-29,20:23,406 W,406,W,3,51.15,NA
2022-09-29,20:24,452 N,452,N,0,5.06,NA
2022-09-29,20:41,452 W,452,W,15,48.68,NA
2022-09-29,20:54,452 N,452,N,7,40.82,NA
2022-09-30,19:02,454 N,454,N,5,24.21,NA
2022-09-30,19:14,454 W,454,W,14,01:06.3,NA
2022-09-30,19:19,452 W,452,W,1,02:27.0,NA
2022-09-30,19:27,454 N,454,N,4,28.66,NA
2022-09-30,19:31,452 W,452,W,3,25.09,NA
2022-09-30,19:38,454 N,454,N,4,38.28,NA
2022-09-30,19:43,452 W,452,W,9,05:54.3,NA
2022-09-30,19:49,454 N,454,N,1,11.31,NA
2022-09-30,19:59,454 N,454,N,4,25.53,NA
2022-09-30,20:01,452 W,452,W,2,13.87,NA
2022-09-30,20:11,454 N,454,N,3,21.79,NA
2022-09-30,20:14,452 W,452,W,3,01:10.4,NA
2022-09-30,20:22,454 N,454,N,1,10.83,NA
2022-09-30,20:27,452 W,452,W,0,12.02,NA
2022-09-30,20:33,454 N,454,N,5,45.33,NA
2022-09-30,20:38,452 W,452,W,4,20.57,NA
2022-09-30,20:44,454 W,454,W,0,0,NA
2022-09-30,20:50,452 W,452,W,4,28.62,NA